[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailList-46, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:45:20, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailList-46, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:46:27, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitSum-190, 變數, cost：50000, profit：2000, pl_ratio：4.00
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailList-46, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitSum-190, 變數, cost：75000, profit：75000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitSum-190, 變數, cost：40000, profit：40000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:47:30, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitSum-190, 變數, cost：50000, profit：2000, pl_ratio：4.00
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailList-46, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitSum-190, 變數, cost：75000, profit：75000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitSum-190, 變數, cost：40000, profit：40000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 10:49:48, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailList-46, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitSum-190, 變數, cost：50000, profit：2000, pl_ratio：4.00
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：25000, profit：25000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailOutList-99, 變數, cost：20000, profit：20000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailList-46, 變數, cost：50000, profit：50000, pl_ratio：100
[Debug] 2024-08-22 11:08:50, ProfitService.cs-GetProfitDetailList-46, 變數, cost：20000, profit：20000, pl_ratio：100
